Week,Product Owner,Engineering Owner,Pilot Ops Owner,Sales / GTM Owner,Weekly Deliverable
1,"Define MVP workflow and screens for portfolio, building, compliance, documents","Set up repo, environments, auth, DB, queue, storage","Create pilot intake checklist and customer data request list","Confirm pilot target account, stakeholders, and decision-maker map","MVP scope doc + pilot intake pack"
2,"Finalize information architecture and data model priorities","Create initial schema and config tables for pathways, penalties, PECMs, limits","Gather sample building roster and sample docs","Lock pilot discovery meetings and request BAS/sensor access info","Schema v1 + sample intake data"
3,"Define building overview and portfolio import UX","Build portfolio import and building resolver","Validate imported buildings against owner truth","Advance pilot discussion toward committed test buildings","Imported pilot roster with conflicts list"
4,"Define confidence/conflict UX and manual review flow","Implement identity resolution, review states, building overview page","Resolve address/BBL/BIN mismatches with customer","Confirm which buildings are in compliance pilot vs monitoring pilot","Canonical building graph for pilot set"
5,"Define compliance workspace layout for Article 320 and 321","Build pathway resolver and requirement generator","Review outputs against DOB docs and owner records","Position AirWise around compliance workflow value in pilot conversations","Compliance workspace skeleton"
6,"Define portfolio compliance dashboard and blocker visibility","Implement Article 320 + 321 workspaces and dashboard","Validate pathway results, PECM applicability, and terminology","Convert design-partner interest into pilot scope and commercial terms","Real building readiness dashboard"
7,"Define document/evidence UX and audit trail","Build upload, classification state, evidence links, audit entries","Collect and upload representative real documents","Use demo to support pilot close and stakeholder confidence","Evidence workflow v1"
8,"Refine requirement/evidence states based on real documents","Implement readiness recalculation and document review states","Review missing evidence and assign follow-ups","Finalize pilot SOW / success criteria / access plan","Compliance + evidence demo using real docs"
9,"Define monitoring overview, issue cards, and operator task UX","Build telemetry ingest, time-series store, BACnet discovery pipeline","Coordinate BAS or gateway access and point list availability","Keep pilot stakeholders aligned on monitoring scope and building access","First telemetry and discovery ingest"
10,"Define point mapping review workflow and system detail page","Store devices/points, implement mapping admin flow, polling","Validate mapped systems with operator/contractor","Prepare pilot narrative for monitoring value, not just compliance","Mapped pilot ventilation system"
11,"Define issue detection outputs and recommendation UX","Implement issue rules and recommendation generation","Review issues with operator/engineer and tune thresholds","Use live issues as proof of operational insight in customer conversations","Recommendations v1"
12,"Define before/after workflow and intervention logging UX","Implement intervention tracking and before/after reporting","Get operator follow-through on recommended actions","Convert recommendation evidence into expansion narrative","First completed recommendation outcome"
13,"Define command request/approval UX and safety notices","Implement whitelist model, command request flow, approval roles","Confirm customer-side approval chain and restricted systems","Align customer expectations on supervised control vs automation","Command workflow v1"
14,"Define rollback and command audit UX","Implement execution, expiry, rollback, and logs","Validate approved write categories with BAS specialist","Use controlled write-back as trust-building pilot milestone","Successful supervised test command"
15,"Prioritize pilot polish, KPI summaries, and reporting outputs","Fix critical bugs, improve dashboards, add KPI summaries","Collect pilot feedback and unresolved blockers","Prepare pilot review deck and expansion path","Pilot review build"
16,"Define next-phase roadmap from actual usage","Close critical bugs, stabilize exports, package learnings","Run pilot retrospective with customer and partners","Push for annual contract / expansion / next portfolio","Customer-ready pilot outcome package"
